id,Move,Type,Category,Power,Accuracy,AP Cost,Description
280,Water Wall,Water,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
281,Waterproof,Water,Miscellaneous,0,100,0,"Passively reduces incoming Water-type damage by 50%, and negates any reactions that would occur. Does not affect critical hits."
282,Waterworks,Water,Ranged Attack,100,90,5,Hits everyone on the battlefield except the user.
283,Web Wrap,Poison,Status Effect,0,20,0,Gives the target Tape Jam status for 3 turn(s).
284,Window,Glass,Status Effect,0,100,1,Allows Ranged Attacks to hit the target through walls.
285,Wink,Typeless,Status Effect,0,100,1,Lowers the target’s Melee Attack.
286,Wonderful 7,Astral,Ranged Attack,90,100,4,Hits one target. Inflicts a random debuff.
287,Woodcutter,Plant,Melee Attack,40,100,3,Hits one target multiple times.
288,Yule Regret That,Ice,Ranged Attack,60,100,4,Hits one target. Lands a critical hit if the target has already taken damage this turn.
289,Zephyr,Air,Ranged Attack,60,100,2,Hits one target.
290,Zoomies,Beast,Melee Attack,30,100,1,Hits one target. Takes priority over other moves.
