Key,Bestiary Index,First Monster,Second Monster,Fusion Name,Basis for Type,Attack Kind,Physicality,Target,Base Power,Status Type,Status Effect
Dandylion_Trapwurm,3374,Dandylion,Trapwurm,Dandywurm,Second,Bomb,Ranged,Team,150,Buff Self,Melee Attack Up
Dandylion_Triphinx,3304,Dandylion,Triphinx,Dandyphinx,Second,Meteor,Ranged,Team,112,Debuff Target,Ranged Attack Down
Dandylion_Twirligig,3334,Dandylion,Twirligig,Dandygig,First,Meteor,Ranged,Team,112,Debuff Target,Flinched
Dandylion_Umbrahella,-1,Dandylion,Umbrahella,Dandyhella,Second,Sword,Melee,Single,200,Debuff Target,Leeched
Dandylion_Undyin,3364,Dandylion,Undyin,Dandydyin,Second,Wheel,Melee,Team,112,Debuff Target,Conductive
Dandylion_Velocirifle,3292,Dandylion,Velocirifle,Dandyrifle,Second,Bomb,Ranged,Team,112,Debuff Target,Bomb
Dandylion_Vendemon,3267,Dandylion,Vendemon,Dandydemon,Second,Smash,Melee,Team,150,Buff Self,Melee Defence Up
Dandylion_Weevilite,3262,Dandylion,Weevilite,Dandylite,Second,Bomb,Ranged,Team,150,Buff Self,Melee Defence Up
Dandylion_Wingloom,3281,Dandylion,Wingloom,Dandygloom,First,Shards,Ranged,Team,112,Debuff Target,Conductive
Dandylion_Wooltergeist,3270,Dandylion,Wooltergeist,Dandytergeist,First,Blast,Melee,Single,200,Buff Self,Ranged Defence Up
Dandylion_Wyrmaw,3375,Dandylion,Wyrmaw,Dandymaw,First,Meteor,Ranged,Team,112,Debuff Target,Evasion Down
Dandylion_Zeustrike,3359,Dandylion,Zeustrike,Dandystrike,First,Blast,Melee,Single,200,Buff Self,Ranged Defence Up
Dandylion_Zombleat,3272,Dandylion,Zombleat,Dandybleat,Second,Fist,Melee,Team,112,Debuff Target,Berserk
Dandylion_Magikrab,3250,Dandylion,Magikrab,Dandykrab,First,Blast,Melee,Single,200,Debuff Target,AP Drain
Decibelle_Adeptile,3243,Decibelle,Adeptile,Decitile,First,Beam,Ranged,Single,200,Buff Self,Multitarget
Decibelle_Aeroboros,3130,Decibelle,Aeroboros,Deciboros,Second,Fist,Melee,Team,150,Buff Self,Evasion Up
Decibelle_Allseer,3172,Decibelle,Allseer,Deciseer,First,Wheel,Melee,Team,112,Debuff Target,Resonance
Decibelle_Amphare,-1,Decibelle,Amphare,Decihare,First,Axe,Melee,Single,200,Debuff Target,Glass Bonds
Decibelle_Anathema,3240,Decibelle,Anathema,Decithema,Second,Axe,Melee,Single,200,Debuff Target,Flinched
Decibelle_Apocrowlypse,3168,Decibelle,Apocrowlypse,Decicrowlypse,Second,Fist,Melee,Team,112,Debuff Target,Petrified
Decibelle_Arkidd,3233,Decibelle,Arkidd,Decikidd,First,Arrow,Ranged,Single,200,Debuff Target,Unitarget
Decibelle_Artillerex,3163,Decibelle,Artillerex,Decirex,Second,Axe,Melee,Single,200,Buff Self,Ranged Attack Up
Decibelle_Auriclaw,3247,Decibelle,Auriclaw,Deciclaw,First,Beam,Ranged,Single,200,Debuff Target,Shrapnel
Decibelle_Averevoir,3237,Decibelle,Averevoir,Decirevoir,First,Bomb,Ranged,Team,150,Buff Self,Cottoned On
Decibelle_Bansheep,3139,Decibelle,Bansheep,Decisheep,Second,Arrow,Ranged,Single,200,Buff Self,Speed Up
Decibelle_Beanstalker,3210,Decibelle,Beanstalker,Decistalker,First,Bomb,Ranged,Team,150,Buff Self,Ranged Attack Up
Decibelle_Pawper,3249,Decibelle,Pawper,Deciper,Second,Wheel,Melee,Team,150,Buff Self,Evasion Up
Decibelle_Pawprince,3250,Decibelle,Pawprince,Deciprince,Second,Axe,Melee,Single,200,Buff Self,Cottoned On
Decibelle_Binterloper,3203,Decibelle,Binterloper,Deciloper,First,Wheel,Melee,Team,112,Debuff Target,Speed Down
Decibelle_Binvader,3202,Decibelle,Binvader,Decivader,First,Spikes,Ranged,Single,200,Debuff Target,Flinched
Decibelle_Blossomaw,3147,Decibelle,Blossomaw,Decimaw,Second,Shards,Ranged,Team,150,Buff Self,Melee Defence Up
Decibelle_Blunderbusk,-1,Decibelle,Blunderbusk,Decibusk,Second,Blast,Melee,Single,200,Buff Self,Ranged Attack Up
Decibelle_Boltam,3191,Decibelle,Boltam,Decitam,Second,Axe,Melee,Single,200,Debuff Target,Flinched
Decibelle_Braxsuit,3175,Decibelle,Braxsuit,Decisuit,First,Spikes,Ranged,Single,200,Buff Self,Mind-Meld
Decibelle_Brushroom,3189,Decibelle,Brushroom,Deciroom,Second,Fist,Melee,Team,150,Buff Self,Accuracy Up
Decibelle_Bulletino,3161,Decibelle,Bulletino,Decitino,First,Axe,Melee,Single,200,Buff Self,Healing Steam
Decibelle_Burnace,3216,Decibelle,Burnace,Deciace,Second,Axe,Melee,Single,200,Debuff Target,Melee Attack Down
Decibelle_Busheye,3193,Decibelle,Busheye,Decisheye,First,Shards,Ranged,Team,112,Debuff Target,Melee Defence Down
Decibelle_Candevil,3134,Decibelle,Candevil,Decidevil,Second,Spikes,Ranged,Single,200,Buff Self,Contact Dmg
Decibelle_Capricorpse,3143,Decibelle,Capricorpse,Decicorpse,Second,Axe,Melee,Single,200,Debuff Target,Ranged Attack Down
Decibelle_Carniviper,3126,Decibelle,Carniviper,Deciviper,First,Fist,Melee,Team,112,Debuff Target,Evasion Down
Decibelle_Cat-5,3158,Decibelle,Cat-5,Deci-5,Second,Arrow,Ranged,Single,200,Buff Self,AP Boost
Decibelle_Charlequin,-1,Decibelle,Charlequin,Deciquin,Second,Fist,Melee,Team,150,Buff Self,Cottoned On
Decibelle_Clocksley,3169,Decibelle,Clocksley,Decisley,First,Meteor,Ranged,Team,112,Debuff Target,Resonance
Decibelle_Cluckabilly,3220,Decibelle,Cluckabilly,Decibilly,First,Beam,Ranged,Single,200,Buff Self,Contact Dmg
Decibelle_Coaldron,3197,Decibelle,Coaldron,Decidron,Second,Blast,Melee,Single,200,Buff Self,Multistrike
Decibelle_Cryoshear,3227,Decibelle,Cryoshear,Decishear,First,Meteor,Ranged,Team,150,Buff Self,AP Boost
Decibelle_Dandylion,3146,Decibelle,Dandylion,Decilion,Second,Fist,Melee,Team,112,Debuff Target,Accuracy Down
Decibelle_Decibelle,3145,Decibelle,Decibelle,Mega Decibelle,Second,Meteor,Ranged,Team,112,Debuff Target,Unitarget
Decibelle_Diveal,3165,Decibelle,Diveal,Deciveal,First,Axe,Melee,Single,200,Debuff Target,Petrified
Decibelle_Diveberg,3242,Decibelle,Diveberg,Deciberg,Second,Beam,Ranged,Single,200,Buff Self,Ranged Defence Up
Decibelle_Djinn Entonic,3232,Decibelle,Djinn Entonic,Decientonic,First,Shards,Ranged,Team,112,Debuff Target,Speed Down
Decibelle_Dominoth,3150,Decibelle,Dominoth,Decinoth,First,Beam,Ranged,Single,200,Buff Self,Evasion Up
Decibelle_Draculeaf,3211,Decibelle,Draculeaf,Decileaf,Second,Spikes,Ranged,Single,200,Debuff Target,Ranged Defence Down
Decibelle_Elfless,3186,Decibelle,Elfless,Deciless,Second,Blast,Melee,Single,200,Debuff Target,Sleep
Decibelle_Faerious,3188,Decibelle,Faerious,Decirious,Second,Wheel,Melee,Team,150,Buff Self,Locked On
Decibelle_Faucetear,3218,Decibelle,Faucetear,Decitear,First,Blast,Melee,Single,200,Debuff Target,Unitarget
Decibelle_Ferriclaw,3246,Decibelle,Ferriclaw,Deciclaw,First,Beam,Ranged,Single,200,Buff Self,Melee Defence Up
Decibelle_Flapwoods,3176,Decibelle,Flapwoods,Deciwoods,First,Bomb,Ranged,Team,150,Buff Self,AP Boost
Decibelle_Folklord,3149,Decibelle,Folklord,Decilord,First,Bomb,Ranged,Team,150,Buff Self,Speed Up
Decibelle_Fortiwinx,3178,Decibelle,Fortiwinx,Deciwinx,Second,Wheel,Melee,Team,112,Debuff Target,Burned
Decibelle_Fountess,3219,Decibelle,Fountess,Decitess,Second,Sword,Melee,Single,200,Buff Self,Parry Stance
Decibelle_Fragliacci,-1,Decibelle,Fragliacci,Deciliacci,First,Sword,Melee,Single,200,Debuff Target,Berserk
Decibelle_Frillypad,3184,Decibelle,Frillypad,Decipad,Second,Fist,Melee,Team,150,Buff Self,Healing Steam
Decibelle_Fungogh,3190,Decibelle,Fungogh,Decigogh,Second,Shards,Ranged,Team,150,Buff Self,Mind-Meld
Decibelle_Galagor,3199,Decibelle,Galagor,Decigor,First,Beam,Ranged,Single,200,Buff Self,Ranged Defence Up
Decibelle_Gearyu,3164,Decibelle,Gearyu,Deciryu,Second,Smash,Melee,Team,150,Buff Self,Speed Up
Decibelle_Glaistain,3238,Decibelle,Glaistain,Decistain,First,Wheel,Melee,Team,112,Debuff Target,Accuracy Down
Decibelle_Grampus,3187,Decibelle,Grampus,Decipus,First,Shards,Ranged,Team,150,Buff Self,Evasion Up
Decibelle_Gumbaal,3138,Decibelle,Gumbaal,Decibaal,Second,Bomb,Ranged,Team,112,Debuff Target,Shrapnel
Decibelle_Hauntome,-1,Decibelle,Hauntome,Decitome,First,Fist,Melee,Team,112,Debuff Target,Flinched
Decibelle_Hedgeherne,3195,Decibelle,Hedgeherne,Deciherne,First,Axe,Melee,Single,200,Buff Self,Contact Dmg
Decibelle_Hopskin,3122,Decibelle,Hopskin,Deciskin,Second,Beam,Ranged,Single,200,Buff Self,Speed Up
Decibelle_Huntorch,3194,Decibelle,Huntorch,Decitorch,Second,Beam,Ranged,Single,200,Buff Self,Speed Up
Decibelle_Icepeck,3226,Decibelle,Icepeck,Decipeck,First,Smash,Melee,Team,150,Buff Self,Healing Steam
Decibelle_Jellyton,3206,Decibelle,Jellyton,Deciton,First,Wheel,Melee,Team,112,Debuff Target,Sleep
Decibelle_Jormungold,3128,Decibelle,Jormungold,Decigold,First,Wheel,Melee,Team,150,Buff Self,Multitarget
Decibelle_Jumpkin,3209,Decibelle,Jumpkin,Decikin,First,Wheel,Melee,Team,150,Buff Self,AP Boost
Decibelle_Khepri,3236,Decibelle,Khepri,Decipri,First,Beam,Ranged,Single,200,Debuff Target,Resonance
Decibelle_Khufo,3173,Decibelle,Khufo,Decifo,Second,Fist,Melee,Team,112,Debuff Target,Melee Attack Down
Decibelle_Kingrave,3214,Decibelle,Kingrave,Decigrave,Second,Arrow,Ranged,Single,200,Buff Self,Multistrike
Decibelle_Kirikuri,3205,Decibelle,Kirikuri,Decikuri,Second,Sword,Melee,Single,200,Buff Self,Evasion Up
Decibelle_Kittelly,3157,Decibelle,Kittelly,Decitelly,Second,Axe,Melee,Single,200,Debuff Target,Ranged Attack Down
Decibelle_Kuneko,3230,Decibelle,Kuneko,Decineko,Second,Bomb,Ranged,Team,112,Debuff Target,Flinched
Decibelle_Lapacitor,-1,Decibelle,Lapacitor,Decipacitor,Second,Arrow,Ranged,Single,200,Buff Self,Healing Steam
Decibelle_Liligator,3185,Decibelle,Liligator,Decigator,First,Beam,Ranged,Single,200,Buff Self,Parry Stance
Decibelle_Littlered,-1,Decibelle,Littlered,Decired,Second,Sword,Melee,Single,200,Debuff Target,Flinched
Decibelle_Lobstacle,3133,Decibelle,Lobstacle,Decistacle,First,Smash,Melee,Team,112,Debuff Target,Conductive
Decibelle_Macabra,3148,Decibelle,Macabra,Decicabra,First,Arrow,Ranged,Single,200,Buff Self,AP Boost
Decibelle_Majortom,-1,Decibelle,Majortom,Decitom,Second,Axe,Melee,Single,200,Debuff Target,Shrapnel
Decibelle_Malchemy,3135,Decibelle,Malchemy,Decichemy,First,Bomb,Ranged,Team,112,Debuff Target,Melee Defence Down
Decibelle_Manispear,3155,Decibelle,Manispear,Decispear,First,Meteor,Ranged,Team,150,Buff Self,Evasion Up
Decibelle_Mardiusa,3129,Decibelle,Mardiusa,Decidiusa,Second,Spikes,Ranged,Single,200,Debuff Target,Unitarget
Decibelle_Mascotorn,3201,Decibelle,Mascotorn,Decitorn,Second,Arrow,Ranged,Single,200,Buff Self,Multistrike
Decibelle_Mascotoy,3200,Decibelle,Mascotoy,Decitoy,Second,Blast,Melee,Single,200,Buff Self,Speed Up
Decibelle_Masquerattle,3127,Decibelle,Masquerattle,Decirattle,First,Shards,Ranged,Team,150,Buff Self,AP Boost
Decibelle_Miasmodeus,3136,Decibelle,Miasmodeus,Decimodeus,First,Smash,Melee,Team,112,Debuff Target,Bomb
Decibelle_Minortom,-1,Decibelle,Minortom,Decitom,First,Wheel,Melee,Team,150,Buff Self,Healing Steam
Decibelle_Minosteam,-1,Decibelle,Minosteam,Decisteam,Second,Axe,Melee,Single,200,Debuff Target,Petrified
Decibelle_Miss Mimic,3239,Decibelle,Miss Mimic,Decimimic,Second,Spikes,Ranged,Single,200,Buff Self,Speed Up
Decibelle_Mothmanic,3152,Decibelle,Mothmanic,Decimanic,Second,Shards,Ranged,Team,112,Debuff Target,Accuracy Down
Decibelle_Muskrateer,3181,Decibelle,Muskrateer,Decirateer,Second,Wheel,Melee,Team,112,Debuff Target,Berserk
Decibelle_Nevermort,3167,Decibelle,Nevermort,Decimort,Second,Wheel,Melee,Team,112,Debuff Target,Resonance
Decibelle_Padpole,3183,Decibelle,Padpole,Decipole,First,Fist,Melee,Team,112,Debuff Target,Melee Attack Down
Decibelle_Palangolin,3156,Decibelle,Palangolin,Decigolin,First,Blast,Melee,Single,200,Buff Self,Ranged Attack Up
Decibelle_Pawndead,3212,Decibelle,Pawndead,Decidead,First,Wheel,Melee,Team,112,Debuff Target,Accuracy Down
Decibelle_Picksie,3248,Decibelle,Picksie,Decisie,Second,Smash,Melee,Team,112,Debuff Target,Ranged Attack Down
Decibelle_Pinbolt,3241,Decibelle,Pinbolt,Decibolt,Second,Wheel,Melee,Team,112,Debuff Target,Speed Down
Decibelle_Plasmantler,3192,Decibelle,Plasmantler,Decimantler,First,Bomb,Ranged,Team,150,Buff Self,Healing Steam
Decibelle_Pombomb,3224,Decibelle,Pombomb,Decibomb,Second,Sword,Melee,Single,200,Buff Self,Contact Dmg
Decibelle_Pondwalker,3222,Decibelle,Pondwalker,Deciwalker,First,Wheel,Melee,Team,112,Debuff Target,Melee Attack Down
Decibelle_Puppercut,3159,Decibelle,Puppercut,Decicut,Second,Shards,Ranged,Team,150,Buff Self,Accuracy Up
Decibelle_Pyromeleon,3180,Decibelle,Pyromeleon,Decimeleon,First,Fist,Melee,Team,112,Debuff Target,Unitarget
Decibelle_Queenyx,3215,Decibelle,Queenyx,Decinyx,Second,Sword,Melee,Single,200,Buff Self,Contact Dmg
Decibelle_Ramtasm,3141,Decibelle,Ramtasm,Decitasm,First,Sword,Melee,Single,200,Debuff Target,Unitarget
Decibelle_Ratcousel,3182,Decibelle,Ratcousel,Decicousel,First,Smash,Melee,Team,112,Debuff Target,Shrapnel
Decibelle_Regensea,3208,Decibelle,Regensea,Decisea,Second,Wheel,Melee,Team,112,Debuff Target,Melee Attack Down
Decibelle_Ripterra,3123,Decibelle,Ripterra,Deciterra,First,Shards,Ranged,Team,112,Debuff Target,Evasion Down
Decibelle_Robindam,3170,Decibelle,Robindam,Decidam,First,Bomb,Ranged,Team,112,Debuff Target,Petrified
Decibelle_Rockertrice,3221,Decibelle,Rockertrice,Decitrice,Second,Bomb,Ranged,Team,150,Buff Self,Speed Up
Decibelle_Rosehood,-1,Decibelle,Rosehood,Decihood,Second,Axe,Melee,Single,200,Buff Self,Ranged Defence Up
Decibelle_Salamagus,3179,Decibelle,Salamagus,Decimagus,Second,Wheel,Melee,Team,150,Buff Self,Parry Stance
Decibelle_Sanzatime,3177,Decibelle,Sanzatime,Decitime,Second,Shards,Ranged,Team,150,Buff Self,Melee Defence Up
Decibelle_Scampire,3125,Decibelle,Scampire,Decipire,First,Blast,Melee,Single,200,Debuff Target,Sleep
Decibelle_Scarleteeth,-1,Decibelle,Scarleteeth,Deciteeth,First,Blast,Melee,Single,200,Debuff Target,Unitarget
Decibelle_Scubalrus,3166,Decibelle,Scubalrus,Decibalrus,Second,Blast,Melee,Single,200,Debuff Target,Accuracy Down
Decibelle_Sharktanker,3223,Decibelle,Sharktanker,Decitanker,First,Axe,Melee,Single,200,Debuff Target,Melee Defence Down
Decibelle_Shining Kuneko,3231,Decibelle,Shining Kuneko,Deci-kuneko,Second,Blast,Melee,Single,200,Buff Self,Melee Attack Up
Decibelle_Sirenade,3144,Decibelle,Sirenade,Decinade,First,Spikes,Ranged,Single,200,Buff Self,Cottoned On
Decibelle_Skelevangelist,3213,Decibelle,Skelevangelist,Decivangelist,First,Fist,Melee,Team,112,Debuff Target,Ranged Attack Down
Decibelle_Smogmagog,3217,Decibelle,Smogmagog,Decimagog,Second,Sword,Melee,Single,200,Buff Self,AP Boost
Decibelle_Snoopin,3124,Decibelle,Snoopin,Decipin,First,Sword,Melee,Single,200,Debuff Target,Evasion Down
Decibelle_Southpaw,3160,Decibelle,Southpaw,Decipaw,First,Axe,Melee,Single,200,Buff Self,Ranged Attack Up
Decibelle_Sparktan,3228,Decibelle,Sparktan,Decitan,First,Arrow,Ranged,Single,200,Buff Self,Multistrike
Decibelle_Spirouette,3207,Decibelle,Spirouette,Deciette,Second,Beam,Ranged,Single,200,Debuff Target,Flinched
Decibelle_Spitzfyre,3225,Decibelle,Spitzfyre,Decifyre,First,Shards,Ranged,Team,150,Buff Self,Healing Steam
Decibelle_Spooki-onna,3235,Decibelle,Spooki-onna,Deci-onna,First,Spikes,Ranged,Single,200,Debuff Target,Speed Down
Decibelle_Springheel,3121,Decibelle,Springheel,Deciheel,Second,Axe,Melee,Single,200,Buff Self,Contact Dmg
Decibelle_Squirey,3154,Decibelle,Squirey,Decirey,Second,Bomb,Ranged,Team,112,Debuff Target,Speed Down
Decibelle_Stardigrade,3198,Decibelle,Stardigrade,Decigrade,Second,Beam,Ranged,Single,200,Buff Self,Parry Stance
Decibelle_Terracooka,3196,Decibelle,Terracooka,Decicooka,First,Arrow,Ranged,Single,200,Debuff Target,Ranged Defence Down
Decibelle_Thwackalope,3171,Decibelle,Thwackalope,Decilope,Second,Sword,Melee,Single,200,Debuff Target,Burned
Decibelle_Tokusect,3153,Decibelle,Tokusect,Decisect,First,Fist,Melee,Team,150,Buff Self,Mind-Meld
Decibelle_Traffikrab,3131,Decibelle,Traffikrab,Decikrab,First,Sword,Melee,Single,200,Debuff Target,Speed Down
Decibelle_Trapwurm,3244,Decibelle,Trapwurm,Deciwurm,Second,Smash,Melee,Team,150,Buff Self,Healing Steam
Decibelle_Triphinx,3174,Decibelle,Triphinx,Deciphinx,First,Spikes,Ranged,Single,200,Buff Self,Speed Up
Decibelle_Twirligig,3204,Decibelle,Twirligig,Decigig,Second,Arrow,Ranged,Single,200,Debuff Target,Sleep
Decibelle_Umbrahella,-1,Decibelle,Umbrahella,Decihella,First,Fist,Melee,Team,112,Debuff Target,Melee Defence Down
Decibelle_Undyin,3234,Decibelle,Undyin,Decidyin,First,Meteor,Ranged,Team,150,Buff Self,Contact Dmg
Decibelle_Velocirifle,3162,Decibelle,Velocirifle,Decirifle,Second,Shards,Ranged,Team,150,Buff Self,Melee Attack Up
Decibelle_Vendemon,3137,Decibelle,Vendemon,Decidemon,Second,Sword,Melee,Single,200,Debuff Target,Ranged Attack Down
Decibelle_Weevilite,3132,Decibelle,Weevilite,Decilite,Second,Axe,Melee,Single,200,Debuff Target,Ranged Defence Down
Decibelle_Wingloom,3151,Decibelle,Wingloom,Decigloom,Second,Spikes,Ranged,Single,200,Debuff Target,Evasion Down
Decibelle_Wooltergeist,3140,Decibelle,Wooltergeist,Decitergeist,Second,Wheel,Melee,Team,112,Debuff Target,Melee Attack Down
Decibelle_Wyrmaw,3245,Decibelle,Wyrmaw,Decimaw,Second,Spikes,Ranged,Single,200,Buff Self,Healing Leaf
Decibelle_Zeustrike,3229,Decibelle,Zeustrike,Decistrike,First,Sword,Melee,Single,200,Buff Self,Evasion Up
Decibelle_Zombleat,3142,Decibelle,Zombleat,Decibleat,First,Smash,Melee,Team,150,Buff Self,Healing Steam
Decibelle_Magikrab,3120,Decibelle,Magikrab,Decikrab,Second,Shards,Ranged,Team,150,Buff Self,Melee Defence Up
Diveal_Adeptile,5843,Diveal,Adeptile,Divetile,First,Fist,Melee,Team,112,Debuff Target,Ranged Defence Down
Diveal_Aeroboros,5730,Diveal,Aeroboros,Diveboros,Second,Blast,Melee,Single,200,Buff Self,Healing Leaf
Diveal_Allseer,5772,Diveal,Allseer,Diveseer,Second,Axe,Melee,Single,200,Buff Self,Healing Steam
Diveal_Amphare,-1,Diveal,Amphare,Divehare,First,Shards,Ranged,Team,112,Debuff Target,Petrified
Diveal_Anathema,5840,Diveal,Anathema,Divethema,First,Blast,Melee,Single,200,Debuff Target,Melee Defence Down
Diveal_Apocrowlypse,5768,Diveal,Apocrowlypse,Divecrowlypse,Second,Bomb,Ranged,Team,112,Debuff Target,Shrapnel
Diveal_Arkidd,5833,Diveal,Arkidd,Divekidd,Second,Beam,Ranged,Single,200,Debuff Target,Bomb
Diveal_Artillerex,5763,Diveal,Artillerex,Diverex,First,Smash,Melee,Team,150,Buff Self,Parry Stance
Diveal_Auriclaw,5847,Diveal,Auriclaw,Diveclaw,Second,Fist,Melee,Team,150,Buff Self,Mind-Meld
Diveal_Averevoir,5837,Diveal,Averevoir,Diverevoir,First,Fist,Melee,Team,112,Debuff Target,Melee Attack Down
Diveal_Bansheep,5739,Diveal,Bansheep,Divesheep,Second,Arrow,Ranged,Single,200,Debuff Target,Unitarget
Diveal_Beanstalker,5810,Diveal,Beanstalker,Divestalker,Second,Wheel,Melee,Team,112,Debuff Target,Speed Down
Diveal_Pawper,5849,Diveal,Pawper,Diveper,First,Beam,Ranged,Single,200,Debuff Target,Accuracy Down
Diveal_Pawprince,5850,Diveal,Pawprince,Diveprince,First,Arrow,Ranged,Single,200,Buff Self,Contact Dmg
Diveal_Binterloper,5803,Diveal,Binterloper,Diveloper,Second,Wheel,Melee,Team,150,Buff Self,Evasion Up
Diveal_Binvader,5802,Diveal,Binvader,Divevader,Second,Sword,Melee,Single,200,Debuff Target,Petrified
Diveal_Blossomaw,5747,Diveal,Blossomaw,Divemaw,First,Beam,Ranged,Single,200,Debuff Target,Ranged Defence Down
Diveal_Blunderbusk,-1,Diveal,Blunderbusk,Divebusk,First,Wheel,Melee,Team,150,Buff Self,Healing Leaf
Diveal_Boltam,5791,Diveal,Boltam,Divetam,Second,Axe,Melee,Single,200,Debuff Target,Conductive
Diveal_Braxsuit,5775,Diveal,Braxsuit,Divesuit,Second,Meteor,Ranged,Team,150,Buff Self,Parry Stance
Diveal_Brushroom,5789,Diveal,Brushroom,Diveroom,Second,Meteor,Ranged,Team,112,Debuff Target,Flinched
Diveal_Bulletino,5761,Diveal,Bulletino,Divetino,Second,Meteor,Ranged,Team,112,Debuff Target,Melee Defence Down
Diveal_Burnace,5816,Diveal,Burnace,Diveace,First,Axe,Melee,Single,200,Debuff Target,Petrified
Diveal_Busheye,5793,Diveal,Busheye,Divesheye,Second,Bomb,Ranged,Team,150,Buff Self,AP Boost
Diveal_Candevil,5734,Diveal,Candevil,Divedevil,Second,Shards,Ranged,Team,150,Buff Self,Speed Up
Diveal_Capricorpse,5743,Diveal,Capricorpse,Divecorpse,First,Blast,Melee,Single,200,Debuff Target,Evasion Down
Diveal_Carniviper,5726,Diveal,Carniviper,Diveviper,Second,Spikes,Ranged,Single,200,Buff Self,Ranged Defence Up
Diveal_Cat-5,5758,Diveal,Cat-5,Dive-5,Second,Wheel,Melee,Team,150,Buff Self,Multistrike
Diveal_Charlequin,-1,Diveal,Charlequin,Divequin,First,Beam,Ranged,Single,200,Debuff Target,Leeched
Diveal_Clocksley,5769,Diveal,Clocksley,Divesley,Second,Arrow,Ranged,Single,200,Debuff Target,Glass Bonds
Diveal_Cluckabilly,5820,Diveal,Cluckabilly,Divebilly,Second,Smash,Melee,Team,112,Debuff Target,Conductive
Diveal_Coaldron,5797,Diveal,Coaldron,Divedron,Second,Fist,Melee,Team,112,Debuff Target,Melee Attack Down
Diveal_Cryoshear,5827,Diveal,Cryoshear,Diveshear,Second,Fist,Melee,Team,150,Buff Self,AP Boost
Diveal_Dandylion,5746,Diveal,Dandylion,Divelion,Second,Bomb,Ranged,Team,112,Debuff Target,Accuracy Down
Diveal_Decibelle,5745,Diveal,Decibelle,Divebelle,Second,Spikes,Ranged,Single,200,Buff Self,Multitarget
Diveal_Diveal,5765,Diveal,Diveal,Meta Diveal,First,Wheel,Melee,Team,150,Buff Self,Speed Up
Diveal_Diveberg,5842,Diveal,Diveberg,Diveberg,Second,Sword,Melee,Single,200,Buff Self,Ranged Attack Up
Diveal_Djinn Entonic,5832,Diveal,Djinn Entonic,Diveentonic,Second,Smash,Melee,Team,150,Buff Self,Ranged Attack Up
Diveal_Dominoth,5750,Diveal,Dominoth,Divenoth,First,Meteor,Ranged,Team,150,Buff Self,Multistrike
Diveal_Draculeaf,5811,Diveal,Draculeaf,Diveleaf,Second,Beam,Ranged,Single,200,Buff Self,Melee Attack Up
Diveal_Elfless,5786,Diveal,Elfless,Diveless,Second,Axe,Melee,Single,200,Buff Self,Multistrike
Diveal_Faerious,5788,Diveal,Faerious,Diverious,Second,Meteor,Ranged,Team,112,Debuff Target,Burned
Diveal_Faucetear,5818,Diveal,Faucetear,Divetear,First,Arrow,Ranged,Single,200,Buff Self,Ranged Defence Up
Diveal_Ferriclaw,5846,Diveal,Ferriclaw,Diveclaw,First,Meteor,Ranged,Team,112,Debuff Target,Glass Bonds
Diveal_Flapwoods,5776,Diveal,Flapwoods,Divewoods,First,Spikes,Ranged,Single,200,Debuff Target,Poisoned
Diveal_Folklord,5749,Diveal,Folklord,Divelord,Second,Smash,Melee,Team,150,Buff Self,Contact Dmg
Diveal_Fortiwinx,5778,Diveal,Fortiwinx,Divewinx,Second,Spikes,Ranged,Single,200,Debuff Target,Confused
Diveal_Fountess,5819,Diveal,Fountess,Divetess,First,Meteor,Ranged,Team,150,Buff Self,Mind-Meld
Diveal_Fragliacci,-1,Diveal,Fragliacci,Diveliacci,First,Smash,Melee,Team,112,Debuff Target,AP Drain
Diveal_Frillypad,5784,Diveal,Frillypad,Divepad,Second,Beam,Ranged,Single,200,Buff Self,Accuracy Up
Diveal_Fungogh,5790,Diveal,Fungogh,Divegogh,First,Axe,Melee,Single,200,Buff Self,Accuracy Up
Diveal_Galagor,5799,Diveal,Galagor,Divegor,First,Shards,Ranged,Team,112,Debuff Target,Conductive
Diveal_Gearyu,5764,Diveal,Gearyu,Diveryu,First,Spikes,Ranged,Single,200,Buff Self,Speed Up
Diveal_Glaistain,5838,Diveal,Glaistain,Divestain,First,Wheel,Melee,Team,150,Buff Self,Multistrike
Diveal_Grampus,5787,Diveal,Grampus,Divepus,Second,Arrow,Ranged,Single,200,Debuff Target,Burned
Diveal_Gumbaal,5738,Diveal,Gumbaal,Divebaal,First,Axe,Melee,Single,200,Buff Self,Contact Dmg
Diveal_Hauntome,-1,Diveal,Hauntome,Divetome,Second,Wheel,Melee,Team,150,Buff Self,Speed Up
Diveal_Hedgeherne,5795,Diveal,Hedgeherne,Diveherne,First,Arrow,Ranged,Single,200,Buff Self,Locked On
Diveal_Hopskin,5722,Diveal,Hopskin,Diveskin,Second,Smash,Melee,Team,112,Debuff Target,Melee Attack Down
Diveal_Huntorch,5794,Diveal,Huntorch,Divetorch,Second,Axe,Melee,Single,200,Debuff Target,Confused
Diveal_Icepeck,5826,Diveal,Icepeck,Divepeck,First,Arrow,Ranged,Single,200,Buff Self,Multitarget
Diveal_Jellyton,5806,Diveal,Jellyton,Diveton,Second,Shards,Ranged,Team,112,Debuff Target,Evasion Down
Diveal_Jormungold,5728,Diveal,Jormungold,Divegold,First,Wheel,Melee,Team,150,Buff Self,Accuracy Up
